Region,CNN,Fox News,Year
North Dakota,0.70,0.30,2007
Utah,0.64,0.36,2007
Vermont,0.80,0.20,2008
District of Columbia,0.77,0.23,2008
New Mexico,0.74,0.26,2008
Maryland,0.76,0.24,2008
North Carolina,0.70,0.30,2008
Georgia,0.67,0.33,2008
Minnesota,0.72,0.28,2008
South Carolina,0.66,0.34,2008
Tennessee,0.67,0.33,2008
Maine,0.76,0.24,2008
Alabama,0.56,0.44,2008
Alaska,0.67,0.33,2008
Delaware,0.77,0.23,2008
Connecticut,0.79,0.21,2008
Nebraska,0.71,0.29,2008
West Virginia,0.63,0.37,2008
New York,0.80,0.20,2008
Illinois,0.74,0.26,2008
Missouri,0.64,0.36,2008
Iowa,0.71,0.29,2008
Wisconsin,0.69,0.31,2008
Ohio,0.67,0.33,2008
Oregon,0.73,0.27,2008
Florida,0.70,0.30,2008
Pennsylvania,0.73,0.27,2008
Indiana,0.69,0.31,2008
Arizona,0.70,0.30,2008
New Hampshire,0.75,0.25,2008
Texas,0.69,0.31,2008
Mississippi,0.59,0.41,2008
Arkansas,0.60,0.40,2008
Montana,0.64,0.36,2008
Hawaii,0.81,0.19,2008
Massachusetts,0.76,0.24,2008
Nevada,0.66,0.34,2008
Washington,0.76,0.24,2008
New Jersey,0.77,0.23,2008
Oklahoma,0.64,0.36,2008
Kentucky,0.65,0.35,2008
Kansas,0.66,0.34,2008
Colorado,0.69,0.31,2008
Michigan,0.67,0.33,2008
South Dakota,0.69,0.31,2008
Wyoming,0.64,0.36,2008
North Dakota,0.71,0.29,2008
Idaho,0.64,0.36,2008
Louisiana,0.62,0.38,2008
Rhode Island,0.76,0.24,2008
Virginia,0.74,0.26,2008
California,0.78,0.22,2008
Utah,0.66,0.34,2008
New Mexico,0.69,0.31,2009
Maryland,0.72,0.28,2009
District of Columbia,0.72,0.28,2009
Georgia,0.62,0.38,2009
South Carolina,0.61,0.39,2009
Nebraska,0.65,0.35,2009
Maine,0.71,0.29,2009
Vermont,0.75,0.25,2009
North Carolina,0.65,0.35,2009
Minnesota,0.68,0.32,2009
Alaska,0.59,0.41,2009
Tennessee,0.61,0.39,2009
Alabama,0.50,0.50,2009
Connecticut,0.74,0.26,2009
Iowa,0.67,0.33,2009
Delaware,0.71,0.29,2009
Ohio,0.62,0.38,2009
New York,0.76,0.24,2009
New Hampshire,0.70,0.30,2009
Arizona,0.65,0.35,2009
Pennsylvania,0.69,0.31,2009
Wisconsin,0.65,0.35,2009
Illinois,0.69,0.31,2009
Hawaii,0.79,0.21,2009
Oregon,0.68,0.32,2009
West Virginia,0.59,0.41,2009
Missouri,0.57,0.43,2009
North Dakota,0.63,0.37,2009
Florida,0.65,0.35,2009
Texas,0.63,0.37,2009
Montana,0.56,0.44,2009
Arkansas,0.55,0.45,2009
Colorado,0.64,0.36,2009
Indiana,0.63,0.37,2009
South Dakota,0.63,0.37,2009
Mississippi,0.53,0.47,2009
Nevada,0.61,0.39,2009
Kansas,0.59,0.41,2009
Michigan,0.64,0.36,2009
Washington,0.70,0.30,2009
New Jersey,0.71,0.29,2009
Idaho,0.59,0.41,2009
Massachusetts,0.72,0.28,2009
Kentucky,0.60,0.40,2009
Oklahoma,0.56,0.44,2009
Rhode Island,0.72,0.28,2009
Louisiana,0.56,0.44,2009
Wyoming,0.52,0.48,2009
Utah,0.58,0.42,2009
California,0.74,0.26,2009
Virginia,0.70,0.30,2009
New Mexico,0.66,0.34,2010
Maryland,0.69,0.31,2010
District of Columbia,0.70,0.30,2010
Nebraska,0.64,0.36,2010
Alabama,0.49,0.51,2010
Tennessee,0.60,0.40,2010
Alaska,0.60,0.40,2010
Minnesota,0.64,0.36,2010
Georgia,0.60,0.40,2010
South Carolina,0.59,0.41,2010
West Virginia,0.58,0.42,2010
Maine,0.68,0.32,2010
North Carolina,0.63,0.37,2010
Connecticut,0.72,0.28,2010
Iowa,0.66,0.34,2010
Montana,0.56,0.44,2010
Wyoming,0.54,0.46,2010
Delaware,0.71,0.29,2010
Hawaii,0.77,0.23,2010
Wisconsin,0.62,0.38,2010
Pennsylvania,0.66,0.34,2010
Illinois,0.67,0.33,2010
New York,0.74,0.26,2010
Oregon,0.66,0.34,2010
Indiana,0.61,0.39,2010
Missouri,0.53,0.47,2010
Ohio,0.58,0.42,2010
Arizona,0.59,0.41,2010
Colorado,0.62,0.38,2010
Kansas,0.57,0.43,2010
North Dakota,0.59,0.41,2010
Florida,0.64,0.36,2010
Nevada,0.60,0.40,2010
South Dakota,0.60,0.40,2010
Texas,0.61,0.39,2010
New Jersey,0.67,0.33,2010
New Hampshire,0.67,0.33,2010
Massachusetts,0.70,0.30,2010
Oklahoma,0.55,0.45,2010
Washington,0.68,0.32,2010
Michigan,0.59,0.41,2010
Arkansas,0.55,0.45,2010
Idaho,0.54,0.46,2010
Rhode Island,0.70,0.30,2010
Louisiana,0.55,0.45,2010
Mississippi,0.52,0.48,2010
Vermont,0.70,0.30,2010
Kentucky,0.56,0.44,2010
Utah,0.55,0.45,2010
California,0.72,0.28,2010
Virginia,0.68,0.32,2010
District of Columbia,0.72,0.28,2011
Maine,0.72,0.28,2011
Vermont,0.75,0.25,2011
Virginia,0.70,0.30,2011
Maryland,0.72,0.28,2011
New Mexico,0.68,0.32,2011
Connecticut,0.77,0.23,2011
Alaska,0.61,0.39,2011
North Carolina,0.65,0.35,2011
Delaware,0.73,0.27,2011
South Dakota,0.61,0.39,2011
Minnesota,0.68,0.32,2011
Hawaii,0.79,0.21,2011
New Hampshire,0.70,0.30,2011
Tennessee,0.59,0.41,2011
New Jersey,0.77,0.23,2011
Nebraska,0.65,0.35,2011
Georgia,0.62,0.38,2011
South Carolina,0.59,0.41,2011
Alabama,0.49,0.51,2011
Pennsylvania,0.69,0.31,2011
Oregon,0.70,0.30,2011
Montana,0.55,0.45,2011
Massachusetts,0.73,0.27,2011
Wisconsin,0.64,0.36,2011
New York,0.77,0.23,2011
Washington,0.71,0.29,2011
Rhode Island,0.73,0.27,2011
Nevada,0.66,0.34,2011
Kansas,0.58,0.42,2011
Wyoming,0.55,0.45,2011
Iowa,0.66,0.34,2011
Oklahoma,0.57,0.43,2011
Arizona,0.62,0.38,2011
Florida,0.67,0.33,2011
Arkansas,0.56,0.44,2011
Missouri,0.51,0.49,2011
Ohio,0.59,0.41,2011
Texas,0.61,0.39,2011
Colorado,0.63,0.37,2011
Illinois,0.68,0.32,2011
Idaho,0.58,0.42,2011
North Dakota,0.61,0.39,2011
Indiana,0.62,0.38,2011
West Virginia,0.59,0.41,2011
Michigan,0.59,0.41,2011
Louisiana,0.55,0.45,2011
California,0.73,0.27,2011
Kentucky,0.59,0.41,2011
Mississippi,0.49,0.51,2011
Utah,0.63,0.37,2011
Vermont,0.75,0.25,2012
Virginia,0.67,0.33,2012
Maryland,0.70,0.30,2012
District of Columbia,0.69,0.31,2012
Connecticut,0.73,0.27,2012
Alabama,0.44,0.56,2012
New Mexico,0.65,0.35,2012
Maine,0.67,0.33,2012
Delaware,0.70,0.30,2012
North Carolina,0.61,0.39,2012
New Hampshire,0.68,0.32,2012
Minnesota,0.64,0.36,2012
Iowa,0.64,0.36,2012
Alaska,0.57,0.43,2012
Wyoming,0.47,0.53,2012
South Carolina,0.56,0.44,2012
Pennsylvania,0.66,0.34,2012
Nebraska,0.60,0.40,2012
Tennessee,0.56,0.44,2012
Rhode Island,0.73,0.27,2012
Massachusetts,0.71,0.29,2012
Georgia,0.59,0.41,2012
Oregon,0.67,0.33,2012
New Jersey,0.73,0.27,2012
Hawaii,0.74,0.26,2012
South Dakota,0.54,0.46,2012
Montana,0.52,0.48,2012
New York,0.75,0.25,2012
Washington,0.68,0.32,2012
Arizona,0.59,0.41,2012
Kansas,0.56,0.44,2012
Colorado,0.60,0.40,2012
Wisconsin,0.58,0.42,2012
Ohio,0.56,0.44,2012
Florida,0.64,0.36,2012
Utah,0.57,0.43,2012
Nevada,0.60,0.40,2012
West Virginia,0.56,0.44,2012
Mississippi,0.45,0.55,2012
Idaho,0.52,0.48,2012
Oklahoma,0.53,0.47,2012
Missouri,0.50,0.50,2012
Indiana,0.59,0.41,2012
Arkansas,0.52,0.48,2012
North Dakota,0.55,0.45,2012
Texas,0.57,0.43,2012
Kentucky,0.57,0.43,2012
Illinois,0.64,0.36,2012
Michigan,0.57,0.43,2012
California,0.70,0.30,2012
Louisiana,0.52,0.48,2012
District of Columbia,0.73,0.27,2013
Vermont,0.73,0.27,2013
Virginia,0.68,0.32,2013
Connecticut,0.74,0.26,2013
Maryland,0.71,0.29,2013
Maine,0.66,0.34,2013
Delaware,0.70,0.30,2013
New Mexico,0.65,0.35,2013
Alabama,0.44,0.56,2013
Alaska,0.55,0.45,2013
New Hampshire,0.66,0.34,2013
North Carolina,0.62,0.38,2013
Rhode Island,0.73,0.27,2013
Nebraska,0.61,0.39,2013
South Dakota,0.55,0.45,2013
Massachusetts,0.72,0.28,2013
Minnesota,0.65,0.35,2013
Wyoming,0.47,0.53,2013
South Carolina,0.55,0.45,2013
Pennsylvania,0.67,0.33,2013
Hawaii,0.75,0.25,2013
Montana,0.50,0.50,2013
New Jersey,0.74,0.26,2013
Washington,0.68,0.32,2013
Iowa,0.61,0.39,2013
Tennessee,0.56,0.44,2013
Arizona,0.58,0.42,2013
Wisconsin,0.57,0.43,2013
New York,0.76,0.24,2013
Ohio,0.56,0.44,2013
Colorado,0.60,0.40,2013
West Virginia,0.56,0.44,2013
Georgia,0.57,0.43,2013
Florida,0.65,0.35,2013
Nevada,0.61,0.39,2013
Kansas,0.55,0.45,2013
Idaho,0.52,0.48,2013
Missouri,0.51,0.49,2013
Arkansas,0.52,0.48,2013
Texas,0.58,0.42,2013
North Dakota,0.53,0.47,2013
Michigan,0.57,0.43,2013
Illinois,0.66,0.34,2013
Indiana,0.59,0.41,2013
California,0.72,0.28,2013
Mississippi,0.44,0.56,2013
Oklahoma,0.54,0.46,2013
Kentucky,0.56,0.44,2013
Utah,0.56,0.44,2013
Louisiana,0.52,0.48,2013
Oregon,0.67,0.33,2013
Vermont,0.75,0.25,2014
Maryland,0.72,0.28,2014
District of Columbia,0.73,0.27,2014
Connecticut,0.75,0.25,2014
Delaware,0.68,0.32,2014
Alaska,0.58,0.42,2014
Maine,0.66,0.34,2014
New Mexico,0.66,0.34,2014
Minnesota,0.65,0.35,2014
Rhode Island,0.73,0.27,2014
New Hampshire,0.68,0.32,2014
Alabama,0.45,0.55,2014
Nebraska,0.64,0.36,2014
North Carolina,0.62,0.38,2014
South Dakota,0.57,0.43,2014
New Jersey,0.76,0.24,2014
Massachusetts,0.72,0.28,2014
Pennsylvania,0.67,0.33,2014
Iowa,0.64,0.36,2014
Wyoming,0.46,0.54,2014
Washington,0.70,0.30,2014
Wisconsin,0.57,0.43,2014
Montana,0.52,0.48,2014
South Carolina,0.56,0.44,2014
Arizona,0.60,0.40,2014
Tennessee,0.56,0.44,2014
Colorado,0.61,0.39,2014
New York,0.76,0.24,2014
Hawaii,0.75,0.25,2014
Ohio,0.56,0.44,2014
Florida,0.66,0.34,2014
West Virginia,0.58,0.42,2014
Missouri,0.50,0.50,2014
Georgia,0.57,0.43,2014
Idaho,0.54,0.46,2014
Nevada,0.62,0.38,2014
Indiana,0.60,0.40,2014
Virginia,0.69,0.31,2014
North Dakota,0.56,0.44,2014
Kentucky,0.58,0.42,2014
Texas,0.60,0.40,2014
Illinois,0.66,0.34,2014
Arkansas,0.53,0.47,2014
Michigan,0.58,0.42,2014
California,0.73,0.27,2014
Kansas,0.56,0.44,2014
Oklahoma,0.56,0.44,2014
Mississippi,0.47,0.53,2014
Utah,0.57,0.43,2014
Louisiana,0.52,0.48,2014
Oregon,0.66,0.34,2014
Maryland,0.69,0.31,2015
Vermont,0.69,0.31,2015
Connecticut,0.72,0.28,2015
Delaware,0.67,0.33,2015
Alabama,0.43,0.57,2015
District of Columbia,0.70,0.30,2015
Rhode Island,0.71,0.29,2015
Minnesota,0.62,0.38,2015
New Hampshire,0.63,0.37,2015
Maine,0.63,0.37,2015
South Dakota,0.54,0.46,2015
Massachusetts,0.70,0.30,2015
North Carolina,0.59,0.41,2015
New Mexico,0.60,0.40,2015
Montana,0.46,0.54,2015
New Jersey,0.71,0.29,2015
Pennsylvania,0.63,0.37,2015
Iowa,0.62,0.38,2015
Nebraska,0.59,0.41,2015
Colorado,0.59,0.41,2015
Wyoming,0.46,0.54,2015
Wisconsin,0.54,0.46,2015
Alaska,0.54,0.46,2015
Ohio,0.54,0.46,2015
Arizona,0.56,0.44,2015
Missouri,0.48,0.52,2015
New York,0.71,0.29,2015
Florida,0.62,0.38,2015
North Dakota,0.54,0.46,2015
Washington,0.65,0.35,2015
Hawaii,0.73,0.27,2015
Indiana,0.57,0.43,2015
Georgia,0.54,0.46,2015
West Virginia,0.52,0.48,2015
Tennessee,0.52,0.48,2015
Mississippi,0.45,0.55,2015
Idaho,0.49,0.51,2015
South Carolina,0.51,0.49,2015
Illinois,0.62,0.38,2015
Nevada,0.58,0.42,2015
California,0.70,0.30,2015
Michigan,0.55,0.45,2015
Texas,0.57,0.43,2015
Kentucky,0.53,0.47,2015
Arkansas,0.49,0.51,2015
Louisiana,0.50,0.50,2015
Virginia,0.66,0.34,2015
Oklahoma,0.54,0.46,2015
Utah,0.54,0.46,2015
Kansas,0.54,0.46,2015
Oregon,0.62,0.38,2015
Vermont,0.70,0.30,2016
District of Columbia,0.68,0.32,2016
Maryland,0.68,0.32,2016
Wyoming,0.38,0.62,2016
Minnesota,0.62,0.38,2016
Connecticut,0.67,0.33,2016
Virginia,0.62,0.38,2016
New Hampshire,0.63,0.37,2016
Rhode Island,0.68,0.32,2016
Massachusetts,0.68,0.32,2016
Maine,0.61,0.39,2016
Alabama,0.41,0.59,2016
Montana,0.47,0.53,2016
New Jersey,0.70,0.30,2016
Delaware,0.63,0.37,2016
Alaska,0.53,0.47,2016
North Carolina,0.56,0.44,2016
Colorado,0.58,0.42,2016
Washington,0.64,0.36,2016
New York,0.71,0.29,2016
Pennsylvania,0.60,0.40,2016
New Mexico,0.59,0.41,2016
Arizona,0.55,0.45,2016
Nebraska,0.55,0.45,2016
South Dakota,0.51,0.49,2016
Georgia,0.55,0.45,2016
Iowa,0.58,0.42,2016
Hawaii,0.69,0.31,2016
Wisconsin,0.50,0.50,2016
Missouri,0.48,0.52,2016
Oregon,0.62,0.38,2016
South Carolina,0.51,0.49,2016
Florida,0.59,0.41,2016
North Dakota,0.54,0.46,2016
Idaho,0.48,0.52,2016
Nevada,0.56,0.44,2016
Illinois,0.62,0.38,2016
California,0.69,0.31,2016
Tennessee,0.48,0.52,2016
Ohio,0.51,0.49,2016
Mississippi,0.41,0.59,2016
West Virginia,0.49,0.51,2016
Michigan,0.53,0.47,2016
Indiana,0.53,0.47,2016
Kansas,0.53,0.47,2016
Oklahoma,0.47,0.53,2016
Texas,0.55,0.45,2016
Arkansas,0.46,0.54,2016
Utah,0.52,0.48,2016
Kentucky,0.50,0.50,2016
Louisiana,0.48,0.52,2016
District of Columbia,0.66,0.34,2017
Vermont,0.67,0.33,2017
Maryland,0.66,0.34,2017
Minnesota,0.59,0.41,2017
Connecticut,0.65,0.35,2017
Montana,0.45,0.55,2017
Wyoming,0.39,0.61,2017
Alabama,0.36,0.64,2017
Maine,0.59,0.41,2017
New Hampshire,0.61,0.39,2017
Delaware,0.63,0.37,2017
Virginia,0.60,0.40,2017
Massachusetts,0.66,0.34,2017
Rhode Island,0.65,0.35,2017
Washington,0.62,0.38,2017
Wisconsin,0.49,0.51,2017
Missouri,0.44,0.56,2017
New Mexico,0.58,0.42,2017
South Dakota,0.47,0.53,2017
Alaska,0.51,0.49,2017
Pennsylvania,0.57,0.43,2017
Colorado,0.56,0.44,2017
North Carolina,0.53,0.47,2017
New York,0.68,0.32,2017
Oregon,0.59,0.41,2017
Tennessee,0.44,0.56,2017
New Jersey,0.64,0.36,2017
Idaho,0.44,0.56,2017
Iowa,0.55,0.45,2017
South Carolina,0.46,0.54,2017
Arizona,0.52,0.48,2017
Florida,0.56,0.44,2017
Hawaii,0.65,0.35,2017
Ohio,0.47,0.53,2017
West Virginia,0.46,0.54,2017
Nebraska,0.52,0.48,2017
Illinois,0.60,0.40,2017
Mississippi,0.39,0.61,2017
Georgia,0.52,0.48,2017
North Dakota,0.47,0.53,2017
California,0.66,0.34,2017
Arkansas,0.41,0.59,2017
Nevada,0.54,0.46,2017
Michigan,0.51,0.49,2017
Oklahoma,0.43,0.57,2017
Kentucky,0.47,0.53,2017
Louisiana,0.43,0.57,2017
Indiana,0.49,0.51,2017
Kansas,0.49,0.51,2017
Utah,0.48,0.52,2017
Texas,0.52,0.48,2017
District of Columbia,0.72,0.28,2018
Montana,0.40,0.60,2018
Wyoming,0.36,0.64,2018
Vermont,0.65,0.35,2018
Alabama,0.33,0.67,2018
South Dakota,0.42,0.58,2018
Maryland,0.61,0.39,2018
Idaho,0.38,0.62,2018
Wisconsin,0.44,0.56,2018
Missouri,0.40,0.60,2018
Maine,0.56,0.44,2018
Alaska,0.47,0.53,2018
Minnesota,0.54,0.46,2018
Virginia,0.55,0.45,2018
Connecticut,0.60,0.40,2018
South Carolina,0.42,0.58,2018
New Hampshire,0.56,0.44,2018
Washington,0.57,0.43,2018
Massachusetts,0.63,0.37,2018
Tennessee,0.40,0.60,2018
Ohio,0.42,0.58,2018
New Mexico,0.53,0.47,2018
Rhode Island,0.62,0.38,2018
Oregon,0.57,0.43,2018
Mississippi,0.34,0.66,2018
Kansas,0.44,0.56,2018
West Virginia,0.42,0.58,2018
Delaware,0.56,0.44,2018
Nebraska,0.47,0.53,2018
Arizona,0.48,0.52,2018
North Carolina,0.48,0.52,2018
Colorado,0.52,0.48,2018
Michigan,0.45,0.55,2018
North Dakota,0.43,0.57,2018
Pennsylvania,0.52,0.48,2018
Iowa,0.50,0.50,2018
Arkansas,0.38,0.62,2018
New York,0.63,0.37,2018
Hawaii,0.62,0.38,2018
Georgia,0.47,0.53,2018
Oklahoma,0.39,0.61,2018
Indiana,0.44,0.56,2018
Louisiana,0.38,0.62,2018
Kentucky,0.42,0.58,2018
New Jersey,0.60,0.40,2018
Florida,0.52,0.48,2018
Illinois,0.56,0.44,2018
California,0.62,0.38,2018
Nevada,0.49,0.51,2018
Utah,0.43,0.57,2018
Texas,0.48,0.52,2018
District of Columbia,0.69,0.31,2019
Montana,0.39,0.61,2019
Wyoming,0.35,0.65,2019
Vermont,0.63,0.37,2019
South Dakota,0.41,0.59,2019
Idaho,0.37,0.63,2019
Alabama,0.32,0.68,2019
Missouri,0.37,0.63,2019
Wisconsin,0.43,0.57,2019
Maine,0.54,0.46,2019
South Carolina,0.40,0.60,2019
Ohio,0.39,0.61,2019
New Hampshire,0.54,0.46,2019
Maryland,0.59,0.41,2019
Alaska,0.46,0.54,2019
Oregon,0.56,0.44,2019
Minnesota,0.52,0.48,2019
West Virginia,0.39,0.61,2019
Virginia,0.55,0.45,2019
Tennessee,0.38,0.62,2019
Arizona,0.45,0.55,2019
Kansas,0.42,0.58,2019
Massachusetts,0.61,0.39,2019
Mississippi,0.31,0.69,2019
Connecticut,0.57,0.43,2019
New Mexico,0.52,0.48,2019
Nebraska,0.45,0.55,2019
Michigan,0.43,0.57,2019
Delaware,0.56,0.44,2019
Washington,0.55,0.45,2019
Rhode Island,0.59,0.41,2019
Arkansas,0.36,0.64,2019
Indiana,0.41,0.59,2019
Iowa,0.48,0.52,2019
North Carolina,0.46,0.54,2019
North Dakota,0.42,0.58,2019
Colorado,0.51,0.49,2019
Louisiana,0.35,0.65,2019
Kentucky,0.40,0.60,2019
Oklahoma,0.38,0.62,2019
Pennsylvania,0.50,0.50,2019
Georgia,0.46,0.54,2019
Nevada,0.46,0.54,2019
Hawaii,0.59,0.41,2019
Florida,0.50,0.50,2019
New Jersey,0.59,0.41,2019
Utah,0.41,0.59,2019
New York,0.61,0.39,2019
California,0.61,0.39,2019
Illinois,0.54,0.46,2019
Texas,0.46,0.54,2019
Montana,0.38,0.62,2020
District of Columbia,0.71,0.29,2020
Wyoming,0.34,0.66,2020
Vermont,0.62,0.38,2020
South Dakota,0.40,0.60,2020
Idaho,0.37,0.63,2020
Missouri,0.38,0.62,2020
Wisconsin,0.45,0.55,2020
Alabama,0.33,0.67,2020
South Carolina,0.39,0.61,2020
Minnesota,0.49,0.51,2020
Alaska,0.44,0.56,2020
West Virginia,0.37,0.63,2020
Ohio,0.40,0.60,2020
Maryland,0.60,0.40,2020
Maine,0.52,0.48,2020
Oregon,0.56,0.44,2020
New Hampshire,0.52,0.48,2020
Tennessee,0.38,0.62,2020
Virginia,0.54,0.46,2020
Arizona,0.46,0.54,2020
Massachusetts,0.61,0.39,2020
Nebraska,0.44,0.56,2020
North Dakota,0.42,0.58,2020
Michigan,0.44,0.56,2020
Washington,0.56,0.44,2020
Kansas,0.43,0.57,2020
Connecticut,0.58,0.42,2020
Indiana,0.40,0.60,2020
North Carolina,0.46,0.54,2020
Delaware,0.55,0.45,2020
Iowa,0.48,0.52,2020
New Mexico,0.52,0.48,2020
Rhode Island,0.58,0.42,2020
Hawaii,0.62,0.38,2020
Mississippi,0.32,0.68,2020
Nevada,0.46,0.54,2020
Pennsylvania,0.49,0.51,2020
Colorado,0.50,0.50,2020
Utah,0.41,0.59,2020
Oklahoma,0.38,0.62,2020
Georgia,0.45,0.55,2020
Louisiana,0.36,0.64,2020
New Jersey,0.60,0.40,2020
Kentucky,0.41,0.59,2020
Arkansas,0.38,0.62,2020
Florida,0.49,0.51,2020
New York,0.60,0.40,2020
Illinois,0.53,0.47,2020
California,0.61,0.39,2020
Texas,0.46,0.54,2020
